target,callsValue,putsValue
1.3874,0.9550671758204687,12.175248502707502
8.4806,5.4273379425981325,7.729231726751273
2.299,57.46788380937166,46.16283885249149
1.7681,30.914805728499044,100.8082443387977
0.2703,0.30848612889141047,0.47290046650329104
3.3664,0.9197587438784811,54.73159013167564
0.68523,24.480691997983115,75.21658592595527
0.96752,5.008554442269032,3.687642106346399
2.19,35.545736715390134,64.6453828714657
2.2981,0.1883781907320663,3.0747539013689793
1.6441,1.0900474845251946,1.11952744643833
0.47569,40.366981150341175,75.32550887337081
