target,callsValue,putsValue
1.3874,37.86482992891774,464.3718297256184
8.4806,168.69110760013865,153.63411057605327
2.299,4221.2031821260925,3756.5342898428157
1.7681,2018.9605957165666,6278.380715489798
0.2703,20.33848441103155,33.51074085207636
3.3664,57.808683108294545,2815.424410749076
0.68523,1212.9792226098814,2720.9949246214683
0.96752,156.26643238718574,169.32290341991649
2.19,2788.881142975961,4804.314351544166
2.2981,15.165798456661488,141.13589792716482
1.6441,83.07289958821414,96.33076468359677
0.47569,3225.9733690785206,5934.2290687798195
